caminho,label,duracao,sample_rate,zcr,rms,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
dataset\direita\Ana_direita_42.wav,direita,1.2,16000,0.06843647203947369,0.0218761,1473.9249347631628,-468.96838,51.93474,17.447042,48.895,-25.291777,-6.3318534,-10.821765,-20.020838,-11.193536,-12.291562,-5.616877,-17.316088,-5.291531
dataset\direita\Ana_direita_43.wav,direita,1.2,16000,0.06194747121710526,0.1929101,1546.8315486242461,-224.76588,61.909,40.42998,42.22389,-8.320528,-19.923378,3.053187,-9.869125,-23.884192,-8.30018,-4.624597,-11.087176,-7.328799
dataset\direita\Ana_direita_44.wav,direita,1.2,16000,0.12005293996710527,0.19243342,1460.181321443588,-196.39085,73.468994,17.63714,44.122253,-3.4029295,-12.008367,-17.845861,-2.7720623,-18.913116,-7.2771816,1.7542692,-15.504915,-9.9244
dataset\direita\Ana_direita_45.wav,direita,1.2,16000,0.06951583059210527,0.12502982,1221.5652669517162,-267.11163,83.79742,-22.974432,55.903553,9.622281,-17.019861,-4.9336476,-25.274395,-8.238426,-0.2542432,-27.781649,6.001506,-10.068695
dataset\direita\Ana_direita_46.wav,direita,1.2,16000,0.051834909539473686,0.15610196,1122.972519110031,-218.13904,110.421326,28.732483,32.73355,-19.057806,-2.8208394,-1.7309157,-10.071615,-24.158653,1.9355421,-13.139185,-5.0810256,-7.494007
dataset\direita\Ana_direita_5.wav,direita,1.2,16000,0.05123098273026316,0.052236907,1060.9809388586455,-335.61206,75.05448,14.7211075,23.86891,-6.550741,0.4756504,-11.929832,-5.268889,-6.8362427,-0.4503986,-5.943104,0.7575532,-2.2470143
dataset\direita\Ana_direita_6.wav,direita,1.2,16000,0.06702302631578948,0.041674953,1427.732625810124,-265.6722,111.094505,13.331758,29.786932,2.1842153,6.9391494,-12.227712,-4.9482102,-10.397704,-4.080082,-10.079318,2.138295,-6.5509133
dataset\direita\Ana_direita_7.wav,direita,1.2,16000,0.0984143708881579,0.064701915,1569.7543647192972,-255.2998,76.3076,20.583282,25.07422,10.654053,2.3527534,-13.448853,-3.0607426,-6.0662937,-6.194085,-12.361097,3.7709444,-1.2183993
dataset\direita\Ana_direita_8.wav,direita,1.2,16000,0.07092927631578948,0.063791685,1307.400535914635,-269.4739,76.85601,11.786323,26.739565,-2.913089,1.1906577,-13.21043,-9.346313,-7.3505955,-1.0798064,-10.297701,7.7609124,-6.5630355
dataset\direita\Ana_direita_9.wav,direita,1.2,16000,0.0639905427631579,0.042840343,1080.4937158968103,-330.11826,84.626526,-1.2188783,19.586054,-5.422342,2.3918042,-6.3203807,-4.924671,-5.711337,-6.839367,-6.369188,6.6843376,1.4860893
dataset\direita\Daniel_direita_47.wav,direita,1.2,16000,0.06677888569078948,0.11110652,1246.050190542685,-277.544,72.52871,7.407572,55.375713,4.2508645,-17.821497,-12.837176,-8.521782,-10.411178,-6.654559,-14.153187,-2.8789208,-14.046013
dataset\direita\Daniel_direita_48.wav,direita,1.2,16000,0.06644479851973684,0.12320172,1162.201602554157,-280.7014,79.23309,-7.5002327,39.553223,-19.8987,1.0753636,-13.240316,-2.866518,-2.5766108,-6.9501967,6.2916985,-3.9735272,-4.426736
dataset\direita\Daniel_direita_49.wav,direita,1.2,16000,0.10554584703947369,0.10603665,1308.1152723696007,-313.00848,67.421745,26.479256,55.267784,-10.809502,-4.2291594,-11.134913,0.21366043,-2.8385296,-7.7446804,-3.3522391,-5.157099,1.2523972
dataset\direita\Daniel_direita_50.wav,direita,1.2,16000,0.054109272203947366,0.046893165,968.6319038447779,-408.45776,78.39717,18.64546,33.86755,-9.31476,-12.11079,-6.883206,-9.871301,-15.873298,-7.436494,-6.201629,-7.0722246,-5.552511
dataset\direita\Daniel_direita_51.wav,direita,1.2,16000,0.10212787828947369,0.052111797,1571.2311101256453,-342.77402,47.61504,10.70524,29.0148,-11.432156,-6.823181,-7.0375295,-6.336783,-9.383085,-8.801419,-2.8008938,-3.7530904,-8.108652
dataset\direita\Daniel_direita_52.wav,direita,1.2,16000,0.08939401726973684,0.1563684,1268.6802352325722,-238.6791,74.623726,-0.05429599,32.960045,-12.951581,7.1949754,-17.840012,-5.1482544,-3.7292376,-7.445458,-7.2386384,-0.49053535,0.83887684
dataset\direita\Daniel_direita_53.wav,direita,1.2,16000,0.057206003289473686,0.0847678,1112.06536194336,-346.40952,53.097282,9.571031,46.59826,-5.708174,-3.210721,-9.429082,4.7114115,-7.9612074,-20.109703,-11.011281,-3.696016,-12.326848
dataset\direita\Daniel_direita_54.wav,direita,1.2,16000,0.07064658717105263,0.06418025,1389.5906691348682,-357.63748,57.613846,30.75424,39.88825,6.0243955,-4.7178073,-17.8053,-0.4192952,-6.6716905,-9.693186,-11.270953,-4.13079,-8.158725
dataset\direita\Daniel_direita_55.wav,direita,1.2,16000,0.09968647203947369,0.07646853,1544.6433588905777,-361.64322,58.83094,42.959255,41.310772,17.335983,-8.507892,-1.6084201,-10.063734,-6.3873115,-12.255928,-7.271104,-3.5995426,-5.9546638
dataset\direita\Daniel_direita_56.wav,direita,1.2,16000,0.04290450246710526,0.055694293,1285.8442175595858,-384.4663,50.695217,27.037622,37.32605,-20.427965,1.3315938,-8.946972,-1.8054041,-12.764134,-3.1987863,-8.781067,-10.104211,-5.339073
dataset\direita\Daniel_direita_57.wav,direita,1.2,16000,0.06506990131578948,0.07166398,1047.9429216188942,-329.8401,92.282074,17.496872,41.720142,-6.668407,-5.0264273,-5.8537197,-22.744102,0.70669895,-11.534127,-16.138494,-2.3935816,-6.591167
dataset\direita\Daniel_direita_58.wav,direita,1.2,16000,0.056062397203947366,0.091223024,900.80782805232,-290.35852,123.93782,7.926308,53.585617,-13.601643,-5.313525,-11.198646,-4.425745,4.1048384,-13.216687,-4.36657,-0.8805796,-5.277091
dataset\direita\Daniel_direita_59.wav,direita,1.2,16000,0.09259354440789473,0.11304687,1619.1383574589747,-272.2081,48.713585,18.160997,31.179443,-25.126085,-10.682517,-10.254934,-12.76676,-10.869164,-6.503464,-7.8465543,-8.056085,-6.231655
dataset\direita\Daniel_direita_60.wav,direita,1.2,16000,0.08137592516447369,0.10525664,1510.4945365261963,-288.29044,59.573704,24.726376,25.184965,-18.431559,-18.77826,-12.970407,-14.252122,-12.823001,-3.2690663,-7.2876096,-5.101014,-4.3442206
dataset\direita\Daniel_direita_61.wav,direita,1.2,16000,0.07827919407894737,0.087727055,1402.575332661605,-330.6477,38.03558,30.444921,33.985756,-25.72431,-4.9171576,-5.4527764,-7.1526737,-14.856471,4.0978103,-7.150055,1.8366474,-1.7630211
dataset\direita\Daniel_direita_62.wav,direita,1.2,16000,0.056859066611842105,0.10926395,1230.7056319607339,-270.65515,82.49974,31.5445,50.81688,-25.351248,-1.6607037,-3.7931182,-0.3420739,-10.997947,2.091233,-0.36946157,5.0616937,-4.655812
dataset\direita\Daniel_direita_63.wav,direita,1.2,16000,0.04726048519736842,0.16339703,834.8471384450294,-238.97353,141.41826,28.466993,73.44911,6.286566,14.955128,9.59448,-2.7303817,9.507428,5.687632,-2.7538154,12.655301,0.0108862175
dataset\direita\Daniel_direita_64.wav,direita,1.2,16000,0.05919767680921053,0.04580736,1068.603858662832,-360.7844,95.44618,23.923082,64.411194,2.4123564,-8.52879,-6.523946,-3.2756736,-10.587388,-7.15603,-6.935439,0.7927543,-9.592923
dataset\direita\Daniel_direita_65.wav,direita,1.2,16000,0.04675935444078947,0.20033588,1223.6609995361705,-105.779396,104.326706,23.410032,44.47296,-1.4253302,6.268256,-4.0457015,-1.261064,-9.339553,-6.5232525,-8.459023,-4.936127,-4.680769
dataset\direita\Daniel_direita_66.wav,direita,1.2,16000,0.10509611430921052,0.03896595,1490.3521271864777,-431.6932,41.844707,20.585354,21.878775,-14.931146,-11.202283,-10.236253,-9.31413,-13.080889,-8.174927,-2.6341612,-0.6488394,-8.568957
dataset\direita\Daniel_direita_67.wav,direita,1.2,16000,0.09069181743421052,0.053444605,1282.4020577593826,-363.3129,78.648346,19.610973,37.5914,-17.742077,5.6222167,-13.392206,-7.786157,-11.236335,-6.6524043,-10.376734,-7.220304,0.31855002
dataset\direita\Daniel_direita_68.wav,direita,1.2,16000,0.05169356496710526,0.036672305,959.1255324078159,-462.7811,78.71747,13.720192,52.68967,9.68575,-11.1112175,4.019062,-10.520747,-14.924345,-5.8216057,-9.638105,-7.9121056,-12.698437
dataset\direita\Daniel_direita_69.wav,direita,1.2,16000,0.052760074013157895,0.059956312,938.2562343808817,-386.61456,56.609695,6.561621,41.9476,9.543041,-7.1519775,-10.910823,-8.476684,1.1595252,-2.5319934,-7.8602223,5.4942822,-8.457113
dataset\direita\Daniel_direita_70.wav,direita,1.2,16000,0.08821186266447369,0.18640816,1473.3531459671958,-174.48424,91.21862,0.99981487,54.9426,1.1938827,-10.89325,-7.143004,-0.06806744,-16.032703,-5.2956104,4.8326654,-8.364762,-7.430711
dataset\direita\Daniel_direita_71.wav,direita,1.2,16000,0.123291015625,0.045313686,1314.6269487378931,-414.2246,62.20502,29.832237,14.065951,-1.8088394,-10.28067,-18.56047,5.586063,-7.904297,-10.085747,-0.69077986,-6.1588006,-3.418808
dataset\direita\jefte_direita_72.wav,direita,1.2,16000,0.15368009868421054,0.017806355,1771.3727904347597,-525.11017,34.12204,2.0322707,26.49096,-28.613531,6.3118157,-14.001847,-14.5828085,-15.583621,0.75284606,-12.306675,-8.914431,1.4291438
dataset\direita\jefte_direita_73.wav,direita,1.2,16000,0.14644582648026316,0.005349679,1926.3753164904354,-569.825,24.45958,12.605325,36.442806,-11.289095,-8.034252,-17.78019,-2.1533015,-18.030428,-8.3326645,-9.805513,3.0417764,-9.779034
dataset\direita\jefte_direita_74.wav,direita,1.2,16000,0.08574475740131579,0.021668874,1208.4952789229876,-455.52283,67.853714,-9.499434,35.09426,0.8411354,-13.549281,-11.099058,-5.4367275,-7.4861593,-1.0045842,-15.135902,2.687671,-7.3708673
dataset\direita\jefte_direita_75.wav,direita,1.2,16000,0.07710988898026316,0.02792577,1268.4268092639652,-466.46268,71.22669,26.982801,44.170837,-30.539606,-15.970843,1.9710253,-14.283715,-16.696716,-4.668895,-10.438625,-7.935265,-4.6965585
dataset\direita\jefte_direita_76.wav,direita,1.2,16000,0.08354749177631579,0.039899323,1011.2678494878307,-443.1246,79.6146,10.488162,29.026762,-7.2336497,-12.654948,-8.905513,-4.403359,-11.465889,-13.918542,-5.257883,-9.402003,-7.8348565
dataset\direita\jefte_direita_77.wav,direita,1.2,16000,0.10257761101973684,0.008713368,1628.5284778490307,-548.7879,32.46829,11.243199,18.345362,-22.366373,-3.210563,-14.549821,1.6045476,-9.299601,-0.34897622,-6.083598,-1.5302428,0.2886957
dataset\direita\jefte_direita_78.wav,direita,1.2,16000,0.19177888569078946,0.09117411,2017.9257362405567,-318.63477,70.69583,34.146587,-0.509937,-12.665838,-22.960974,-1.3000339,-24.661106,-8.255532,-5.266146,-12.037684,-4.6759095,-3.3839128
dataset\direita\jefte_direita_79.wav,direita,1.2,16000,0.06524979440789473,0.06530781,1185.4732902656972,-345.14044,92.046425,21.744581,32.303352,-18.647106,-6.097988,-2.4122071,-11.531059,-15.356871,-0.26161966,-9.155266,0.12654711,-1.1329583
dataset\direita\jefte_direita_80.wav,direita,1.2,16000,0.042262027138157895,0.13157062,962.1812901545487,-231.12425,121.190735,34.65834,58.681313,3.7175093,17.300135,-15.95663,0.5227597,-10.412738,0.5561298,-11.790662,-4.265698,-0.4180278
dataset\direita\jefte_direita_81.wav,direita,1.2,16000,0.04920076069078947,0.05528926,979.6189851422278,-279.0964,129.0116,11.35806,60.862896,-3.3123636,3.0512087,-19.919178,6.6293597,-11.017691,-11.770709,-1.7623497,1.9099474,-8.699392
dataset\direita\jefte_direita_82.wav,direita,1.2,16000,0.08823756167763158,0.033101603,1175.1072993881617,-493.75345,78.063194,21.51216,34.616352,12.52133,-19.680487,-5.6987925,-8.541268,-12.999878,-9.429175,-10.479926,-1.864621,-10.585536
dataset\direita\jefte_direita_83.wav,direita,1.2,16000,0.07563219572368421,0.05082787,1134.2959320904074,-381.3927,104.55971,-2.0670228,25.937984,-10.032501,-9.004987,-10.661456,-8.158016,-18.089357,-11.340088,-4.599397,-10.723278,1.042986
dataset\direita\jefte_direita_84.wav,direita,1.2,16000,0.12252004523026316,0.02163351,1595.0055579746127,-478.1673,43.161457,16.196436,32.737305,-31.788279,-6.4634027,-15.130482,-13.221387,-18.021978,-2.5555956,-8.176399,-3.1672444,-0.93361044
dataset\direita\jefte_direita_85.wav,direita,1.2,16000,0.12642629523026316,0.021301752,1669.2159041965022,-443.5592,54.706543,-7.496541,42.964985,-28.1501,-13.554598,-17.49157,3.4465942,-19.084763,-3.3837698,-5.7798476,-14.394229,1.9299088
dataset\direita\Joaquim_direita_86.wav,direita,1.2,16000,0.07158460115131579,0.03159095,1141.1455656988312,-459.97745,60.02062,27.90281,34.52245,-11.12744,-19.649376,-13.316631,-0.6694293,-20.546904,-5.142551,-2.7844841,-0.06727778,9.580462
dataset\direita\Joaquim_direita_87.wav,direita,1.2,16000,0.06792249177631579,0.023477888,1264.5748542911126,-460.77344,25.50715,6.9730353,25.733784,-18.666359,-8.439805,-11.079331,-1.9641563,-17.937696,-3.9194183,4.3660173,-5.9228125,8.277834
dataset\direita\Joaquim_direita_88.wav,direita,1.2,16000,0.09297902960526316,0.056735616,1639.688664390432,-367.63785,47.23909,21.642166,16.43306,-43.48518,-7.833941,-16.379108,-6.8356743,-22.468761,-21.386536,-3.9130971,-2.1099155,-5.4858255
dataset\direita\Joaquim_direita_89.wav,direita,1.2,16000,0.08798057154605263,0.09617848,1548.1741280320325,-275.5984,82.21239,6.728745,17.377575,-26.558722,-13.994701,-40.88593,-18.680862,-23.497444,-34.90221,-16.79,8.8630705,-26.667187
dataset\direita\Joaquim_direita_90.wav,direita,1.2,16000,0.07027395148026316,0.06352717,1321.9470904562986,-367.63028,65.24355,8.884757,20.832342,-21.08191,-29.574026,-7.869526,1.7295974,-48.339264,2.4138598,-15.410694,-0.94643253,-5.2126403
dataset\direita\Kauê_direita_100.wav,direita,1.2,16000,0.07511821546052631,0.12106584,1322.6459712782844,-308.92,57.74291,10.945264,37.283318,-12.698611,-13.7684145,-5.22964,-3.9291081,-7.587185,-5.4257064,-3.2203672,1.3354393,-2.9340065
dataset\direita\Kauê_direita_101.wav,direita,1.2,16000,0.09286338404605263,0.031279597,1560.1358514621538,-488.7769,79.66563,-12.989389,6.2846694,-7.976034,-18.405401,-17.575035,-7.5934434,-10.336397,-10.359469,-7.3831553,-7.5792027,-1.2950745
dataset\direita\Kauê_direita_102.wav,direita,1.2,16000,0.09678248355263158,0.13908732,1604.5783449214039,-253.99466,57.180492,11.097076,34.698982,-22.560833,-7.620386,-16.209589,-7.0992126,-14.5698,-0.053545173,-9.640307,-3.625659,-1.5585302
dataset\direita\Kauê_direita_103.wav,direita,1.2,16000,0.07489977384868421,0.14762473,1391.3993078831272,-268.1877,71.34312,3.469643,24.197767,-12.497056,-4.542802,-26.417395,-6.794607,4.505973,-20.791012,-7.1939964,-0.93826133,-6.4646196
dataset\direita\Kauê_direita_104.wav,direita,1.2,16000,0.06459446957236842,0.1269904,1169.6030237789826,-285.86227,58.305157,22.292377,36.92429,-1.5175805,-2.402688,-8.647374,-6.084382,-10.914551,-3.7367218,-10.89212,-2.7024057,-6.1274157
dataset\direita\Kauê_direita_105.wav,direita,1.2,16000,0.08808336759868421,0.1806796,1489.9691824272486,-189.6545,80.85026,6.6590195,39.38483,-28.45857,-16.466547,1.6400274,-22.398829,-9.258078,-2.240343,-18.841764,8.254985,-11.251465
dataset\direita\Kauê_direita_106.wav,direita,1.2,16000,0.06724146792763158,0.18636747,1134.168463266429,-188.6834,100.43786,-0.94436204,55.381397,5.335336,-8.464182,-25.087425,-14.627446,5.5330677,-7.7225223,-9.87377,-3.1889908,-3.302811
dataset\direita\Kauê_direita_107.wav,direita,1.2,16000,0.06879625822368421,0.09902903,1265.6718735808417,-318.83478,54.74458,8.611581,35.047222,-4.649395,-6.321551,-5.1113877,-7.871595,-2.0506077,-2.0751853,-6.0619793,1.2912554,-3.329583
dataset\direita\Kauê_direita_108.wav,direita,1.2,16000,0.07017115542763158,0.144143,1360.2941136705604,-268.09833,60.051174,23.727371,41.785446,-14.694165,-13.369116,-3.5792983,1.0589775,-15.78559,1.0631483,-6.9468536,-4.9802504,1.099989
dataset\direita\Kauê_direita_109.wav,direita,1.2,16000,0.09944233141447369,0.112743564,1635.8782697716626,-299.91443,64.32372,25.807072,36.382812,-21.216532,-13.549903,-5.644925,-0.45532313,-17.394485,1.8272561,-5.574547,-5.9409356,2.5108984
dataset\direita\Kauê_direita_110.wav,direita,1.2,16000,0.06091951069078947,0.11303161,1186.7746276906266,-296.24097,73.61615,19.719458,28.013311,1.6294796,-4.107767,-4.59493,-0.60671115,-10.690449,9.816972,-9.572908,1.0809641,1.0306537
dataset\direita\Kauê_direita_111.wav,direita,1.2,16000,0.05687191611842105,0.06505174,1253.8854393474935,-359.50497,71.55515,24.238108,59.017796,16.26038,4.162973,-7.465307,1.5796677,-8.001509,-6.6401725,-2.9678338,-9.238744,-6.7244196
dataset\direita\Kauê_direita_112.wav,direita,1.2,16000,0.11231753700657894,0.17495714,1967.0581553673278,-67.451675,68.92928,-3.1734438,41.016666,-11.231503,4.1710835,-3.3560593,3.5534115,-4.1660247,-1.4175483,-8.40541,-0.4349048,-5.836308
dataset\direita\Kauê_direita_113.wav,direita,1.2,16000,0.06553248355263158,0.08117173,1289.9342539009633,-343.74942,63.27616,24.134464,61.851112,16.311913,-5.2038317,2.0556393,-4.336366,-1.6638911,-19.583355,-11.1802225,-2.7669325,-19.833399
